Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
713,8,Assess veneer defects and grade veneers for laminated veneer lumber and plywood manufacture,3,Unit,Internal,5,Laminated Veneer Lumber and Plywood Manufacturing,Registered,Current
714,4,Mix glue for LVL and plywood production,4,Unit,Internal,8,Laminated Veneer Lumber and Plywood Manufacturing,Expired,Current
715,8,Compose veneers for laminated veneer lumber and plywood manufacture,4,Unit,Internal,10,Laminated Veneer Lumber and Plywood Manufacturing,Registered,Current
716,1,Grade and repair laminated veneer lumber,3,Unit,Internal,4,Laminated Veneer Lumber Manufacturing,Expired,Current
717,4,Control LVL and plywood production,5,Unit,Internal,8,Laminated Veneer Lumber and Plywood Manufacturing,Expired,Current
718,4,Maintain the quality of LVL and plywood production,4,Unit,Internal,8,Laminated Veneer Lumber and Plywood Manufacturing,Expired,Current
719,8,Recover wood chips and prepare raw material,4,Unit,Internal,5,Composite Wood Panel Manufacturing,Registered,Current
720,7,Refine wood chips and glue fibre,4,Unit,Internal,20,Composite Wood Panel Manufacturing,Registered,Current
721,9,Bond overlays to wood panel substrates using an overlay press,4,Unit,Internal,20,Overlay Bonding,Registered,Current
722,8,"Identify materials, establish operating parameters, and solve bonding problems in overlay bonding operations",5,Unit,Internal,15,Overlay Bonding,Registered,Current
723,8,Produce wood flake for particle board manufacture,4,Unit,Internal,10,Composite Wood Panel Manufacturing,Expired,Current
724,7,Prepare wood furnish for particle board manufacture,4,Unit,Internal,5,Composite Wood Panel Manufacturing,Registered,Current
725,9,Peel logs into veneers for laminated veneer lumber and plywood manufacture,4,Unit,Internal,15,Laminated Veneer Lumber and Plywood Manufacturing,Registered,Current
726,9,Clip and stack laminated veneer lumber and plywood veneers,3,Unit,Internal,5,Laminated Veneer Lumber and Plywood Manufacturing,Registered,Current
727,8,"Assess panel defects, and grade and sort laminated veneer lumber and plywood panels",4,Unit,Internal,10,Laminated Veneer Lumber and Plywood Manufacturing,Registered,Current
728,1,Glue plywood veneers,3,Unit,Internal,8,Plywood Manufacturing,Expired,Current
729,8,Measure moisture content of wood products,2,Unit,Internal,5,Wood Manufacturing Foundation Skills,Registered,Current
730,6,Condition logs for slicing into veneers,3,Unit,Internal,7,Veneer Slicing Operations,Expired,Current
731,6,Slice logs into veneer leaves,3,Unit,Internal,10,Veneer Slicing Operations,Expired,Current
732,6,Clip and grade veneers,3,Unit,Internal,10,Veneer Slicing Operations,Expired,Current
733,6,Cut and glue veneer leaves,3,Unit,Internal,10,Veneer Slicing Operations,Expired,Current
734,6,Make layons from veneer leaves,3,Unit,Internal,10,Veneer Slicing Operations,Expired,Current
735,5,Manufacture veneer edging tape,4,Unit,Internal,5,Veneer Manufacturing,Expired,Current
736,7,Demonstrate knowledge of physical characteristics of wood,2,Unit,Internal,5,Wood Manufacturing Foundation Skills,Registered,Current
737,4,Manage wood preservation operations,5,Unit,Internal,30,Wood Preservation,Expired,Current
738,6,Operate timber drying kiln,3,Unit,Internal,25,Timber Drying and Treatment,Registered,Current
739,6,Operate a wood slabber,3,Unit,Internal,3,Wood Preparation,Expired,Current
740,6,Operate a wood chipper,3,Unit,Internal,3,Wood Preparation,Registered,Current
741,2,"Use basic atomic theory to describe properties of conductors, semi-conductors, and insulators",2,Unit,Internal,1,Core Electrical,Expired,Current
742,2,Calculate values in resistive circuits,2,Unit,Internal,2,Core Electrical,Expired,Current
743,2,Produce simple electrical diagrams,2,Unit,Internal,2,Core Electrical,Expired,Current
744,2,Explain the concepts of electrochemistry and the relationship with electrical energy,2,Unit,Internal,1,Core Electrical,Expired,Current
745,2,"Identify and communicate electrical terms, symbols, and circuits",2,Unit,Internal,2,Core Electrical,Expired,Current
746,2,Explain the principles of magnetism and electromagnetism and identify types and uses of magnets,2,Unit,Internal,2,Core Electrical,Expired,Current
747,2,Compare alternating current (ac) and direct current (dc) generation,2,Unit,Internal,2,Core Electrical,Expired,Current
748,2,Identify electrical supply systems,3,Unit,Internal,1,Core Electrical,Expired,Current
749,1,Demonstrate an understanding of resistors,2,Unit,Internal,2,Electrical Theory,Expired,Current
750,9,Demonstrate knowledge of electrical test instruments and take measurements,2,Unit,Internal,2,Core Electrical,Registered,Current
751,2,Describe the properties and uses of diodes in rectifier circuits,2,Unit,Internal,2,Core Electrical,Expired,Current
752,2,"Identify and describe typical installation methods, and install common electrical cables",2,Unit,Internal,3,Electrical Installation and Maintenance,Expired,Current
753,1,Identify electronic components and their uses,2,Unit,Internal,2,Electrical Trades,Expired,Current
754,2,Install flexible cords,2,Unit,Internal,1,Core Electrical,Expired,Current
755,2,Install and replace fuse links and miniature circuit-breakers,2,Unit,Internal,1,Electrical Installation and Maintenance,Expired,Current
756,2,Calculate electrical energy and power in resistive circuits,2,Unit,Internal,1,Core Electrical,Expired,Current
757,3,Explain electrical fundamentals in the dairy industry,3,Unit,Internal,6,Dairy,Expired,Current
758,11,Explain mechanical fundamentals for equipment used in the dairy industry,4,Unit,Internal,6,Dairy Processing - Core Skills,Expired,Current
759,3,Explain automated process control in the dairy industry,4,Unit,Internal,8,Dairy,Expired,Current
760,11,Diagnose mechanical and electrical faults in the dairy industry,4,Unit,Internal,8,Dairy Processing - Core Skills,Expired,Current
761,7,Explain the safe and efficient use of energy and ancillary services in the dairy industry,4,Unit,Internal,8,Dairy Technology,Expired,Current
762,6,Explain the requirements of product safety programmes and their application in the dairy industry,4,Unit,Internal,12,Dairy Product Safety and Risk Management,Expired,Current
763,7,Explain the operation and management of dairy industry stores,4,Unit,Internal,6,Dairy Supply Chain,Expired,Current
764,8,Explain a separation and standardisation process in a dairy processing operation,5,Unit,Internal,20,Milk Processing,Expired,Current
765,8,Describe the buttermaking process in a dairy processing operation,5,Unit,Internal,15,Milk Products,Registered,Current
766,8,Describe anhydrous milkfat manufacturing in a dairy processing operation,5,Unit,Internal,15,Milk Products,Registered,Current
767,4,Explain an evaporator and spray drier process in the dairy industry,4,Unit,Internal,32,Dairy Technology,Expired,Current
768,7,Explain a wet and dry process for the production of casein products in the dairy industry,4,Unit,Internal,32,Dairy Technology,Expired,Current
769,8,Describe membrane processing in a dairy processing operation,5,Unit,Internal,15,Milk Products,Registered,Current
770,9,Describe the cheese manufacturing process in a dairy processing operation,5,Unit,Internal,15,Milk Products,Registered,Current
771,5,Demonstrate knowledge of the production horticulture industry in New Zealand,3,Unit,Internal,5,Production Horticulture,Registered,Current
772,4,Demonstrate knowledge of the structure of plants and the functions of the different parts,2,Unit,Internal,10,Production Horticulture,Expired,Current
773,3,Use and maintain a hydroladder,3,Unit,Internal,3,Fruit Production,Expired,Current
774,7,Use and maintain a grape leaf trimmer,3,Unit,Internal,5,Viticulture,Registered,Current
775,5,Artificially pollinate a kiwifruit crop,3,Unit,Internal,2,Fruit Production,Expired,Current
776,6,Manage pollination of a fruit crop,4,Unit,Internal,5,Fruit Production,Expired,Current
777,1,Thin fruit to optimise crop loading,4,Unit,Internal,3,Fruit Production,Expired,Current
778,4,Distinguish between fertilisers and calculate the cost of plant-usable nutrient in fertilisers,4,Unit,Internal,2,Production Horticulture,Expired,Current
779,5,Maintain irrigation systems,2,Unit,Internal,3,Production Horticulture,Expired,Current
780,1,Install irrigation systems,2,Unit,Internal,3,Production Horticulture,Expired,Current
781,1,Operate and maintain an irrigation regime,4,Unit,Internal,2,Production Horticulture,Expired,Current
782,4,Apply plant nutrients through an irrigation system,4,Unit,Internal,2,Production Horticulture,Expired,Current
783,4,Prepare a seedbed and lay polythene mulch,4,Unit,Internal,2,Production Horticulture,Expired,Current
784,4,Use and maintain a precision seeding machine,4,Unit,Internal,3,Production Horticulture,Expired,Current
785,4,Plant seedlings in open ground,2,Unit,Internal,1,Production Horticulture,Expired,Current
786,3,Plant fruit plants in orchard or vineyard sites,2,Unit,Internal,2,Fruit Production,Expired,Current
787,3,Mark positions for fruit plants in a new block,3,Unit,Internal,3,Fruit Production,Expired,Current
788,3,Use and maintain orchard mowers and mulchers,3,Unit,Internal,3,Fruit Production,Expired,Current
789,5,Demonstrate knowledge of basic legal requirements affecting a horticulture business,4,Unit,Internal,7,Production Horticulture,Expired,Current
790,4,Prevent frost damage,3,Unit,Internal,3,Production Horticulture,Expired,Current
791,6,Build and maintain support structures for fruit crops,3,Unit,Internal,5,Fruit Production,Registered,Current
792,6,Build and maintain a covering structure for a fruit crop,3,Unit,Internal,6,Fruit Production,Registered,Current
793,4,Build artificial shelter systems,4,Unit,Internal,4,Production Horticulture,Expired,Current
794,5,Control the greenhouse environment,3,Unit,Internal,5,Production Horticulture,Expired,Current
795,4,Establish and maintain support systems for greenhouse crops and remove the support systems,3,Unit,Internal,2,Production Horticulture,Expired,Current
796,4,Erect and maintain greenhouses,4,Unit,Internal,4,Production Horticulture,Expired,Current
797,4,Maintain greenhouse hygiene,3,Unit,Internal,5,Production Horticulture,Expired,Current
798,4,Maintain a nutrient film technique (NFT) system,3,Unit,Internal,3,Production Horticulture,Expired,Current
799,4,Erect and maintain shadehouses,3,Unit,Internal,4,Production Horticulture,Expired,Current
800,4,Demonstrate knowledge of harvest principles for horticultural crops and use basic harvest techniques,2,Unit,Internal,3,Production Horticulture,Expired,Current
801,4,Transport harvested crop to the depot,3,Unit,Internal,1,Production Horticulture,Expired,Current
802,4,Determine crop maturity and decide when to harvest the crop,4,Unit,Internal,3,Production Horticulture,Expired,Current
803,6,Use and maintain a berry harvester,4,Unit,Internal,5,Fruit Production,Expired,Current
804,6,Apply post-harvest treatments to a fruit crop,4,Unit,Internal,5,Fruit Production,Expired,Current
805,6,Grade vegetables to pre-determined criteria,3,Unit,Internal,2,Vegetable Production,Expired,Current
806,6,Calibrate and check fruit sizing equipment,4,Unit,Internal,3,Fruit Production,Expired,Current
807,5,Pack and despatch pre-graded fruit,2,Unit,Internal,3,Fruit Production,Expired,Current
808,5,Implement a fruit packaging system,4,Unit,Internal,3,Fruit Production,Expired,Current
809,6,Use and maintain packhouse plant,4,Unit,Internal,5,Production Horticulture,Expired,Current
810,6,Use and maintain winery plant,4,Unit,Internal,8,Viticulture,Expired,Current
811,5,Store fruit,2,Unit,Internal,3,Production Horticulture,Expired,Current
812,4,Conduct pre-harvest crop assessment,4,Unit,Internal,2,Production Horticulture,Expired,Current
813,3,Prepare plant containers and mix media constituents,2,Unit,Internal,3,Nursery Production,Expired,Current
814,3,Demonstrate elementary plant propagation,2,Unit,Internal,4,Nursery Production,Expired,Current
815,3,Propagate plants from seed,4,Unit,Internal,4,Nursery Production,Expired,Current
816,6,Demonstrate knowledge of fruit production in New Zealand,2,Unit,Internal,5,Fruit Production,Registered,Current
817,3,Propagate plants by cuttings,4,Unit,Internal,4,Nursery Production,Expired,Current
818,3,Propagate plants by division,4,Unit,Internal,4,Nursery Production,Expired,Current
819,3,Bud and graft young plants,4,Unit,Internal,5,Production Horticulture,Expired,Current
820,3,Grow plants in containers,3,Unit,Internal,3,Nursery Production,Expired,Current
821,3,Identify plants - fruit production,2,Unit,Internal,4,Fruit Production,Expired,Current
822,3,Grow plants in the open ground,4,Unit,Internal,5,Nursery Production,Expired,Current
823,3,Demonstrate knowledge of agrichemicals,2,Unit,Internal,5,Production Horticulture,Expired,Current
824,3,"Use, maintain, and store safety equipment for use with agrichemicals",2,Unit,Internal,2,Production Horticulture,Expired,Current
825,8,"Recognise common pests, diseases, and disorders important to fruit production",4,Unit,Internal,4,Fruit Production,Expired,Current
826,3,Demonstrate knowledge of principles involved in agrichemical use,3,Unit,Internal,3,Production Horticulture,Expired,Current
827,3,"Use, maintain, and calibrate dusting and misting systems for applying agrichemicals",3,Unit,Internal,4,Production Horticulture,Expired,Current
828,8,Monitor levels of pest and beneficial organisms in fruit crops and act at preset threshold levels,4,Unit,Internal,3,Fruit Production,Expired,Current
829,5,Demonstrate knowledge of plant nomenclature,2,Unit,Internal,5,Production Horticulture,Registered,Current
830,7,Train and prune fruit trees,3,Unit,Internal,5,Production Horticulture,Expired,Current
831,6,Train and prune vine crops,3,Unit,Internal,5,Production Horticulture,Registered,Current
832,7,"Demonstrate knowledge of training systems for brambles, and prune and tie up brambles",3,Unit,Internal,5,Production Horticulture,Registered,Current
833,7,Prune and disbud a floriculture crop,3,Unit,Internal,5,Floriculture,Expired,Current
834,6,Graft mature fruit plants,4,Unit,Internal,10,Fruit Production,Expired,Current
835,3,Prune and train a nursery crop,3,Unit,Internal,4,Nursery Production,Expired,Current
836,3,Use and maintain hydraulic and pneumatic pruning equipment,3,Unit,Internal,2,Fruit Production,Expired,Current
837,1,Use and maintain hand pruning equipment including orchard ladders and platforms,2,Unit,Internal,2,Fruit Production,Expired,Current
838,4,Pollinate a greenhouse tomato crop,2,Unit,Internal,2,Production Horticulture,Expired,Current
866,1,Maintain crop health,4,Unit,Internal,4,Arable Farming,Expired,Current
867,2,Harvest Cash Crops,4,Unit,Internal,8,Arable Farming,Expired,Current
868,5,Assist with disposal of crop residues,3,Unit,Internal,3,Arable Farming,Expired,Current
869,5,Demonstrate knowledge of arable farm production,4,Unit,Internal,6,Arable Farming,Expired,Current
870,2,Process and store a cash crop - grain,4,Unit,Internal,5,Arable Farming,Expired,Current
871,2,Demonstrate knowledge of livestock breeding - cattle,3,Unit,Internal,3,Cattle Farming,Expired,Current
872,2,Demonstrate knowledge of livestock breeding methods and programmes - cattle,4,Unit,Internal,3,Cattle Farming,Expired,Current
873,2,Demonstrate knowledge of livestock mating - cattle,3,Unit,Internal,3,Cattle Farming,Expired,Current
874,2,Demonstrate knowledge of livestock mating management - cattle,4,Unit,Internal,4,Cattle Farming,Expired,Current
875,2,Demonstrate knowledge of livestock reproduction and livestock attributes - cattle,3,Unit,Internal,4,Cattle Farming,Expired,Current
876,6,Repair plastic automotive components,3,Unit,Internal,7,Automotive Plastic Repair,Expired,Current
877,6,"Identify functions of automotive lighting systems, rectify lighting faults, and adjust vehicle lamps",3,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
878,6,Repair an engine cooling system,3,Unit,Internal,4,Engine Repairs,Expired,Current
879,5,Test and tune two-stroke petrol engines and diagnose and repair faults,4,Unit,Internal,6,Engines,Registered,Current
880,6,Remove and fit a windscreen and bonded glass to a vehicle,3,Unit,Internal,3,Vehicle Bodywork,Expired,Current
881,6,"Test, service, and repair an automotive air conditioning system",4,Unit,Internal,4,Automotive Air Conditioning,Expired,Current
882,6,Rectify faults associated with a motor vehicle body,3,Unit,Internal,3,Vehicle Bodywork,Registered,Current
883,5,Check and adjust vehicle front and rear wheel alignment,3,Unit,Internal,4,Vehicle Steering and Suspension,Registered,Current
884,5,"Dismantle, inspect, and overhaul vehicle manual steering boxes and rack assemblies",3,Unit,Internal,2,Vehicle Steering and Suspension,Registered,Current
885,2,Tune a two stroke and a four stroke diesel engine,4,Unit,Internal,10,Engine Repairs,Expired,Current
886,6,Test a four stroke petrol engine using a tunescope,4,Unit,Internal,2,Engine Repairs,Expired,Current
887,6,Diagnose and repair automotive wiper system faults,4,Unit,Internal,2,Automotive Electrical and Electronics,Expired,Current
888,5,Overhaul starter motors from light vehicles,3,Unit,Internal,3,Automotive Electrical and Electronics,Registered,Current
889,5,Repair an automotive alternator,3,Unit,Internal,3,Automotive Electrical and Electronics,Expired,Current
890,5,"Diagnose and rectify faults in motorcycle or ATV electrical starting and charging systems, and overhaul starter motors",4,Unit,Internal,4,Automotive Electrical and Electronics,Registered,Current
891,5,Diagnose and rectify faults in a contact breaker (CB) ignition system on an engine,4,Unit,Internal,2,Automotive Electrical and Electronics,Expired,Current
892,6,"Test, diagnose, and rectify faults in an electronic fuel injection (EFI) system on an engine",4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
893,5,Diagnose and rectify vehicle emission control system faults,4,Unit,Internal,3,Engines,Expired,Current
894,5,Diagnose and rectify faults in a carburetted petrol fuel system,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Registered,Current
895,5,Diagnose and rectify faults in a conventional-type electronic ignition system on an engine,4,Unit,Internal,4,Automotive Electrical and Electronics,Expired,Current
896,6,Diagnose and rectify suspension and manual steering faults on cars or light commercial vehicles,4,Unit,Internal,4,Vehicle Steering and Suspension,Expired,Current
897,5,Diagnose and rectify faults in light vehicle starting and charging systems,4,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
898,5,Identify an automotive wiring diagram and translate information to a circuit,3,Unit,Internal,3,Automotive Electrical and Electronics,Registered,Current
899,7,Carry out automotive wiring repairs and test circuits for serviceability,3,Unit,Internal,3,Automotive Electrical and Electronics,Expired,Current
900,1,Diagnose and repair faults in electronically controlled systems used on vehicles or machines,4,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
901,5,Diagnose and rectify vehicle power-assisted steering system faults,4,Unit,Internal,4,Vehicle Steering and Suspension,Expired,Current
902,5,Test a vehicle heating and ventilation system,3,Unit,Internal,3,"Automotive Heating, Ventilation, and Air Conditioning",Registered,Current
903,2,Diagnose and rectify faults in a diesel fuel system,4,Unit,Internal,8,Automotive Fuel Systems and Exhaust,Expired,Current
904,6,"Diagnose faults in an automotive generator type charging system, and overhaul a DC generator",3,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
905,5,Overhaul heavy duty electric pre-engaged and axial-type starter motors,4,Unit,Internal,5,Automotive Electrical and Electronics,Registered,Current
906,5,Test for and rectify vehicle climate control system faults,4,Unit,Internal,4,"Automotive Heating, Ventilation, and Air Conditioning",Expired,Current
907,5,Install entertainment systems in vehicles and test and rectify installation faults,4,Unit,Internal,4,Automotive Electrical and Electronics,Registered,Current
908,2,Test a two stroke and a four stroke diesel engine to determine their condition,4,Unit,Internal,4,Engine Repairs,Expired,Current
909,5,"Install electrical accessories in vehicles, and test for and rectify faults",3,Unit,Internal,2,Automotive Electrical and Electronics,Registered,Current
910,6,Diagnose and rectify faults in automotive instruments and gauges,4,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
911,5,Prepare and install a sunroof to a vehicle,3,Unit,Internal,4,Vehicle Bodywork,Expired,Current
912,7,"Remove, repair, and replace vehicle body interior components",3,Unit,Internal,3,Vehicle Bodywork,Registered,Current
913,6,Use the oxy-acetylene process for welding and allied uses in the motor industry,3,Unit,Internal,4,Automotive Workshop Engineering,Expired,Current
914,6,Metal-arc gas shield (MIG) weld automotive components,3,Unit,Internal,4,Automotive Workshop Engineering,Expired,Current
915,5,"Service multiple lead-acid battery installations on vehicles, machines or units",3,Unit,Internal,3,Automotive Electrical and Electronics,Registered,Current
916,6,Repair punctures and fit tyres to wheels,3,Unit,Internal,3,Tyres,Expired,Current
917,5,Remove and replace a diesel fuel injection pump,3,Unit,Internal,2,Automotive Fuel Systems and Exhaust,Registered,Current
918,5,Demonstrate knowledge of light vehicle final drive assembly operation,3,Unit,Internal,4,Automotive Transmission Systems,Expired,Current
919,5,Demonstrate knowledge of light vehicle automatic transmission components and fault diagnosis procedures,4,Unit,Internal,8,Automotive Transmission Systems,Registered,Current
920,5,Demonstrate knowledge of light vehicle manual and semi-automatic transmission construction and operation,3,Unit,Internal,4,Automotive Transmission Systems,Registered,Current
921,6,Describe driveline components and rectify driveline faults on cars or light commercial vehicles,3,Unit,Internal,4,Automotive Transmission Systems,Expired,Current
922,5,Check and rectify faults in manual single plate clutches used on light vehicles,3,Unit,Internal,2,Automotive Transmission Systems,Expired,Current
923,6,Carry out general repairs to a cylinder head,3,Unit,Internal,4,Engine Repairs,Expired,Current
924,6,Clean automotive components,2,Unit,Internal,1,Automotive Workshop Engineering,Registered,Current
925,6,Carry out general repairs to and assemble an engine short block,3,Unit,Internal,5,Engine Repairs,Expired,Current
926,6,Demonstrate knowledge of and rectify faults in a motorcycle clutch,3,Unit,Internal,3,Automotive Transmission Systems,Expired,Current
927,6,"Demonstrate knowledge of, test, and overhaul a motorcycle transmission",3,Unit,Internal,5,Automotive Transmission Systems,Expired,Current
928,7,"Demonstrate knowledge of, and repair a manual starting system on a small engine",2,Unit,Internal,2,Engine Repairs,Expired,Current
929,5,Test and rectify diesel engine glow plug starting aid system faults,3,Unit,Internal,2,Engines,Registered,Current
930,6,"Describe turbocharger operation, and service a turbocharger system on a vehicle or machine",3,Unit,Internal,3,Automotive Fuel Systems and Exhaust,Expired,Current
931,6,Describe the application of hydraulics for automotive heavy engineering use,4,Unit,Internal,8,Automotive Hydraulics,Expired,Current
932,7,Inspect engine flywheel and fit starter ring gear,2,Unit,Internal,1,Engine Repairs,Expired,Current
933,6,Diagnose and rectify exhaust system faults,3,Unit,Internal,2,Automotive Fuel Systems and Exhaust,Expired,Current
934,5,"Cost a job for the supply of a product, repair or service in the automotive industry",3,Unit,Internal,3,Automotive Administration,Registered,Current
935,6,Service an automatic transmission or transaxle assembly,3,Unit,Internal,2,Automotive Transmission Systems,Expired,Current
936,5,Make up brake pipes for a particular braking application,3,Unit,Internal,1,Vehicle Braking Systems,Registered,Current
937,6,Describe brake lining materials and reline brake shoes,3,Unit,Internal,2,Vehicle Braking Systems,Expired,Current
938,6,Inspect and overhaul braking system hydraulic componentry off the vehicle,3,Unit,Internal,4,Vehicle Braking Systems,Expired,Current
939,5,"Carry out diagnosis, servicing, and fault rectification in motorcycle or ATV final drives",3,Unit,Internal,5,Automotive Transmission Systems,Registered,Current
940,6,Inspect and rectify governor faults on a small engine,2,Unit,Internal,2,Engines,Registered,Current
941,5,"Describe light trailer servicing requirements, and repair light trailers",3,Unit,Internal,2,Automotive Trailers,Expired,Current
942,5,"Carry out a pre-delivery check, rectify defects, and complete the service on a light vehicle",3,Unit,Internal,3,Automotive Preventive Maintenance,Registered,Current
943,5,Remove and install an engine assembly from and to a light vehicle,3,Unit,Internal,2,Engines,Registered,Current
944,5,"Carry out a pre-delivery check, rectify defects, and complete the service on a motorcycle",3,Unit,Internal,3,Automotive Preventive Maintenance,Expired,Current
945,6,Remove and replace fixed and movable automotive glass,3,Unit,Internal,8,Vehicle Bodywork,Expiring,Current
946,5,Book in and receive work for an automotive business,3,Unit,Internal,4,Automotive Administration,Registered,Current
947,7,Demonstrate knowledge of vehicle bodywork construction,4,Unit,Internal,6,Vehicle Bodywork,Registered,Current
948,5,Machine brake discs and drums,3,Unit,Internal,2,Vehicle Braking Systems,Expired,Current
949,7,"Demonstrate knowledge of lawnmower types and applications, and lawnmower operation",2,Unit,Internal,3,Automotive Workshop Engineering,Expired,Current
950,6,Manual metal arc weld automotive components in flat and vertical positions,3,Unit,Internal,6,Automotive Workshop Engineering,Expired,Current
951,6,Diagnose and rectify faults in a vehicle LPG (liquefied petroleum gas) fuel system,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
952,5,Diagnose and rectify faults in a vehicle CNG (compressed natural gas) fuel system,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
953,5,Install an LPG (liquefied petroleum gas) fuel system to a vehicle,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
954,5,Install a CNG (compressed natural gas) fuel system to a vehicle,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
955,5,Inspect motor vehicles and trailers for Warrant of Fitness requirements,3,Unit,Internal,4,Automotive Preventative Maintenance,Expired,Current
956,6,Inspect motorcycles for Warrant of Fitness requirements,4,Unit,Internal,2,Automotive Preventative Maintenance,Expired,Current
957,5,Diagnose and rectify faults in final drive assemblies on cars or light commercial vehicles,4,Unit,Internal,4,Automotive Transmission Systems,Expired,Current
958,5,Diagnose and rectify faults in automatic transmissions on cars or light commercial vehicles,4,Unit,Internal,8,Automotive Transmission Systems,Expired,Current
959,5,Test and overhaul manual transmissions on cars or light commercial vehicles,4,Unit,Internal,6,Automotive Transmission Systems,Expired,Current
960,5,Diagnose and rectify brake system faults on light vehicles,4,Unit,Internal,4,Vehicle Braking Systems,Expired,Current
961,6,Diagnose and rectify faults in engine management systems,4,Unit,Internal,8,Automotive Electrical and Electronics,Expired,Current
962,5,Diagnose and rectify faults in a motorcycle fuel system,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
963,2,Carry out machining repairs to a cylinder head,4,Unit,Internal,6,Engine Repairs,Expired,Current
964,6,Implement a schedule for an automotive preventative maintenance programme,5,Unit,Internal,2,Automotive Preventive Maintenance,Expired,Current
965,6,Analyse vehicle or machine cooling system problems and requirements,5,Unit,Internal,4,Engine Repairs,Expired,Current
966,5,Make up and install electronic circuitry and components in a vehicle or machine,5,Unit,Internal,5,Automotive Electrical and Electronics,Registered,Current
967,6,Measure and interpret engine performance,4,Unit,Internal,4,Engine Repairs,Expired,Current
968,7,Prepare and deliver an estimate or quotation for the supply of an automotive product or service to a customer,4,Unit,Internal,4,Automotive Administration,Registered,Current
969,5,Retrofit a turbocharger to a petrol engine,5,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
970,2,Repair an induction system on a diesel engine,4,Unit,Internal,2,Engine Repairs,Expired,Current
971,6,Diagnose and repair diesel engine shut-down systems,4,Unit,Internal,2,Engine Repairs,Expired,Current
972,6,Repair track gear systems on machines,4,Unit,Internal,5,Vehicle Steering and Suspension,Registered,Current
973,6,Diagnose and rectify brake system faults on a motorcycle,4,Unit,Internal,3,Vehicle Braking Systems,Expired,Current
974,5,Diagnose and rectify faults in a car or light commercial vehicle anti-lock braking system,5,Unit,Internal,4,Vehicle Braking Systems,Registered,Current
975,6,Design a wiring harness for a particular automotive application,4,Unit,Internal,4,Automotive Electrical and Electronics,Expired,Current
976,5,Specify the lighting requirements for a passenger coach or special purpose vehicle,5,Unit,Internal,4,Automotive Electrical and Electronics,Registered,Current
977,5,"Demonstrate knowledge of, and recommend, automotive component corrosion prevention methods",5,Unit,Internal,7,Automotive Administration,Registered,Current
978,5,Specify the battery and charging system requirements for a passenger coach or special purpose vehicle,5,Unit,Internal,4,Automotive Electrical and Electronics,Expired,Current
979,7,Diagnose and rectify faults in an engine flywheel ignition system,4,Unit,Internal,5,Automotive Electrical and Electronics,Expired,Current
980,5,"Service engine driven stationary and mobile generators and power units, and rectify control system faults",4,Unit,Internal,3,Engines,Registered,Current
981,5,Install an automotive air conditioning system,3,Unit,Internal,3,"Automotive Heating, Ventilation, and Air Conditioning",Registered,Current
982,5,Inspect motor vehicles for alternative fuels inspection certificate requirements,4,Unit,Internal,2,Automotive Fuel Systems and Exhaust,Expired,Current
983,6,Plan and implement an automotive product sales project,4,Unit,Internal,7,Automotive Sales,Expired,Current
984,5,Plan an automotive department layout,5,Unit,Internal,6,Automotive Administration,Expired,Current
985,6,Control expense in an automotive department,6,Unit,Internal,6,Automotive Administration,Expired,Current
986,6,Prepare and implement an automotive on-the-job instruction programme,5,Unit,Internal,5,Automotive Administration,Expired,Current
987,5,Carry out a sales programme for an automotive product or service,6,Unit,Internal,6,Automotive Sales,Expired,Current
988,7,Demonstrate knowledge of automotive Service Manager's roles,6,Unit,Internal,20,Automotive Administration,Expired,Current
989,5,Retrofit a turbocharger to a diesel engine,5,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
990,5,Test and repair an air operated engine starting system,4,Unit,Internal,3,Automotive Pneumatics,Expired,Current
991,5,Demonstrate knowledge of the landscape industry in New Zealand,2,Unit,Internal,1,Landscape,Expired,Current
992,7,Install drainage systems used in landscaping,3,Unit,Internal,4,Landscape,Expired,Current
993,5,"Apply soil testing, cultivation and conditioning techniques",3,Unit,Internal,4,Landscape,Expired,Current
994,5,Use chemicals safely in landscape work,3,Unit,Internal,5,Landscape,Expired,Current
995,5,Use fertilisers in landscape work,3,Unit,Internal,3,Landscape,Expired,Current
996,5,Mix and place concrete to specification in landscape work,3,Unit,Internal,3,Landscape,Expired,Current
997,7,Describe regulatory requirements applying to landscape work,4,Unit,Internal,5,Landscape,Registered,Current
