Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
91015,3,"Demonstrate understanding of formal elements of art works, using art terminology",1,Achievement,External,4,Art History,Expired,Current
91016,3,Demonstrate understanding of the subject matter of art works,1,Achievement,Internal,4,Art History,Expired,Current
91017,3,Demonstrate understanding of links between context(s) and art works,1,Achievement,Internal,4,Art History,Expired,Current
91018,3,Demonstrate knowledge of media and methods used to produce art works,1,Achievement,Internal,4,Art History,Expired,Current
91019,2,Demonstrate understanding of developments in an artist's work,1,Achievement,Internal,4,Art History,Expired,Current
91020,3,Explain why selected objects may be considered as art,1,Achievement,Internal,4,Art History,Expired,Current
91021,2,Demonstrate understanding of ideas and values of the classical world,1,Achievement,External,4,Classical Studies,Expired,Current
91022,2,Demonstrate understanding of the significance of features of work(s) of art in the classical world,1,Achievement,External,4,Classical Studies,Expired,Current
91023,3,Demonstrate understanding of an important historical figure in the classical world,1,Achievement,External,4,Classical Studies,Expired,Current
91024,2,Demonstrate understanding of social relationships in the classical world,1,Achievement,Internal,6,Classical Studies,Expired,Current
91025,2,Demonstrate understanding of links between aspects of the classical world and another culture,1,Achievement,Internal,6,Classical Studies,Expired,Current
91026,3,Apply numeric reasoning in solving problems,1,Achievement,Internal,4,Number,Expired,Current
